No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
122	Aluminium	Door & Window Accessories	Conceal Folding Door Acc. Pivot Set 29S	1	SET	45	45	2024-01-05	YIT LOONG BUILDING MATERIALS SDN BHD	
123	Aluminium	Door & Window Accessories	Conceal Folding Door Acc. Pivot Set 30S	1	SET	45	45	2024-01-05	YIT LOONG BUILDING MATERIALS SDN BHD	
124	Aluminium	Door & Window Accessories	Door Hinges 3/8" x 1-1/4" x 2"	6	PCS	0.85	5.1	2023-03-15		
125	Aluminium	Door & Window Accessories	DS0034 Dust Socket	1	PCS	9	9	2022-05-30	YIT LOONG BUILDING MATERIALS SDN BHD	
126	Aluminium	Door & Window Accessories	EVA Foam S/S (Black) 6mm x 12mm x 1m	1	PCS	1.1	1.1	2023-03-18	YIT LOONG BUILDING MATERIALS SDN BHD	
127	Aluminium	Door & Window Accessories	EVA Foam S/S (Black) 6mm x 25mm x 1m	1	PCS	1.8	1.8	2023-03-02	YIT LOONG BUILDING MATERIALS SDN BHD	
128	Aluminium	Door & Window Accessories	Flush Bolt T301 NA	1	PAIR	15	15	2024-06-29	YIT LOONG BUILDING MATERIALS SDN BHD	
129	Aluminium	Door & Window Accessories	Flush Bolt TC78 Black	1	PAIR	12	12	2024-10-13	YIT LOONG BUILDING MATERIALS SDN BHD	
130	Aluminium	Door & Window Accessories	Flush Bolt TC78BL Black	1	PAIR	11.50	11.5	2024-10-13	YIT LOONG BUILDING MATERIALS SDN BHD	
131	Aluminium	Door & Window Accessories	Flush Bolt TC78WH White	1	PAIR	11.50	11.5	2024-10-13	YIT LOONG BUILDING MATERIALS SDN BHD	
132	Aluminium	Door & Window Accessories	Folding Door 89A(L) Bottom Guide	1	PCS	28.00	28	2022-12-13	YIT LOONG BUILDING MATERIALS SDN BHD	
133	Aluminium	Door & Window Accessories	Folding Door 89A(R) Bottom Guide	1	PCS	28	28	2022-12-13	YIT LOONG BUILDING MATERIALS SDN BHD	
134	Aluminium	Door & Window Accessories	Folding Door 89AG(L) Bottom Guide	1	PCS	28.00	28	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
